student_id,question_id,selected_option,correct_option,is_correct,mistake_type,correctness_reason,confidence_signal,key_concept
276200,Q1,D,C,False,Conceptual,"The student did not determine the net momentum gained by calculating the area under the force vs. time graph, which equals 140 Ns.",Low,Physics
276200,Q2,D,B,False,Conceptual,"The student failed to calculate the total change in momentum by multiplying force and time, resulting in 'mgt'.",Low,Physics
276200,Q3,B,A,False,Conceptual,"The student did not recognize that equal tension and weight indicate zero net force and therefore uniform speed, not uniform acceleration.",Low,Physics
276200,Q4,D,C,False,Calculation,"The student incorrectly calculated the acceleration of the 5 kg mass, which should be 5g/9 according to the free body diagram and force equations.",Low,Physics
276200,Q5,B,C,False,Calculation,"The student incorrectly computed the average force required to stop the hammer by miscalculating change in momentum/time, giving 500 N instead of 5000 N.",Low,Physics
276200,Q6,C,D,False,Calculation,The student did not correctly calculate the kinetic energy gain by considering the work done by both the applied force and the frictional force (100N * 5m - 40N * 5m = 300J).,Low,Work and Energy
276200,Q7,A,D,False,Calculation,The student did not compute the difference in potential energy stored in the spring between the two extensions (25J-6.25J = 18.75J).,Low,Energy Stored in Spring
276200,Q8,B,D,False,Conceptual,The student selected the incorrect formula and could not determine that the power of the machine gun is the product of the number of bullets fired per second and the kinetic energy of each bullet (nk).,Low,Power and Kinetic Energy
276200,Q9,A,B,False,Calculation,The student did not correctly compute the dot product of force and displacement vectors (5*2 + -3*1 + 2*0 = 7J).,Low,Work Done by a Force
276200,Q10,D,D,True,None,The student correctly determined that doubling the speed quadruples the stopping distance to 80m.,Medium,"Work, Energy, and Power"
276200,Q11,B,B,True,None,The student correctly identified the relative speed as 4 m/s due to the image moving at an equal and opposite speed.,Medium,Kinematics/Relative Motion
276200,Q12,B,C,False,Conceptual,"The student did not recognize that an inverted image of the same size formed by a concave mirror implies the object is at the center of curvature, therefore f=R/2 = 6cm.",Low,Optics/Mirrors
276200,Q13,C,D,False,Calculation,"The student failed to use magnification formulas to determine the focal length from the two object-image distance scenarios, where f = 36cm.",Low,Optics/Mirrors
276200,Q14,B,B,True,None,The student correctly stated the deviation angle is 120 degrees.,Medium,UNKNOWN
276200,Q15,A,B,False,Conceptual,The student did not remember that the minimum mirror height is half the person's height.,Low,Optics
276200,Q16,A,A,True,None,"The student correctly identified that the element with electronic configuration 2,8,3 is in Group 13, Period 3, and is metallic.",Medium,Periodic Table
276200,Q17,B,A,False,Conceptual,The student did not correctly identify the set of metalloids.,Low,Metalloids
276200,Q18,A,D,False,Conceptual,"The student did not recall that ionization energy increases across a period, making Ne the element with the highest ionization energy.",Low,Ionization Energy
276200,Q19,B,B,True,None,The student correctly stated that atomic radius decreases and ionization energy increases when moving from left to right along a period.,Medium,Effective Nuclear Charge & Ionization Energy
276200,Q20,C,C,True,None,The student correctly identified that Calcium (Ca) forms a basic oxide.,Medium,Metal & Non-metal Oxides
276200,Q21,D,D,True,None,The student correctly stated that the metallic character increases from top to bottom in a group.,Medium,Alkali Metals
276200,Q22,A,C,False,Conceptual,The student did not recall that valency remains the same down the group because the valence electron count is constant.,Low,Valency
276200,Q23,B,B,True,None,The student correctly identified the balanced equation for the reaction of aluminum with chlorine.,Medium,Chemical Reactions
276200,Q24,C,C,True,None,The student correctly identified that Na2CO3 + 2HCl results in a double displacement reaction producing CO2 gas.,Medium,Double Displacement Reaction
276200,Q25,C,B,False,Conceptual,The student did not know that CO2 turns limewater milky and is produced when dilute HCl reacts with Na2CO3.,Low,Chemical Reactions
276200,Q26,C,A,False,Conceptual,The student did not recognize that CaCO3 decomposing into CaO + CO2 upon heating is an example of endothermic decomposition.,Low,Thermal Decomposition
276200,Q27,A,B,False,Conceptual,"The student incorrectly identified the oxidizing agent; HCl accepts electrons, thus it is the oxidizing agent.",Low,Redox Reactions
276200,Q28,C,A,False,Conceptual,The student did not recall that iron nails in copper sulphate solution results in a reddish-brown deposit on the nails and solution turning lighter.,Low,Displacement Reaction
276200,Q29,C,B,False,Conceptual,The student did not recall that the correct balanced neutralization reaction is H2SO4 + 2NaOH -> Na2SO4 + 2H2O.,Low,Neutralization Reaction
276200,Q30,A,B,False,Conceptual,The student failed to balance the equation KClO3 -> KCl + O2.,Low,Chemical Decomposition
276200,Q31,B,B,True,None,The student correctly identified the synapse as the point of contact between neurons.,Medium,Synapse
276200,Q32,A,B,False,Conceptual,The student did not remember that a sieve tube is a living cell.,Low,Sieve Tubes
276200,Q33,B,D,False,Conceptual,"The student confused the urethra with the nephron, the latter being the filtration unit of the kidney.",Low,Nephrons
276200,Q34,C,A,False,Conceptual,"The student did not recognize that blood leaving tissues is richer in carbon dioxide, a waste product of cellular respiration.",Low,Cellular Respiration
276200,Q35,A,B,False,Conceptual,The student confused heterodont with diphyodont (two sets of teeth).,Low,Heterodont
276200,Q36,A,D,False,Conceptual,"The student incorrectly stated the ATP production; anaerobic respiration of one glucose yields 2 ATP, therefore three molecules yield 6.",Low,Anaerobic Respiration
276200,Q37,D,D,True,None,The student correctly identified all roles of HCl in the stomach.,Medium,Hydrochloric Acid Functions
276200,Q38,C,C,True,None,The student correctly identified that Rhizopus reproduces via spore formation.,Medium,Spore Formation
276200,Q39,A,C,False,Conceptual,The student did not remember the potato is a modified stem.,Low,Potato Tuber
276200,Q40,A,A,True,None,The student correctly remembered that Pepsin will not function without the presence of Hydrochloric acid.,Medium,Role of HCl and Pepsin
276200,Q41,C,C,True,None,The student correctly defined Photophosphorylation as the process of forming ATP.,Medium,Photophosphorylation
276200,Q42,C,C,True,None,The student correctly remembered that the Epiglottis closes the respiratory passage during ingestion of food.,Medium,Epiglottis Function
276200,Q43,B,A,False,Conceptual,The student confused Sodium with Calcium; Calcium ions are essential for blood clotting.,Low,Blood Clotting and Calcium Ions
276200,Q44,D,D,True,None,The student correctly recognized that Ethylene triggers ripening of fruits.,Medium,Plant Hormones and Fruit Ripening
276200,Q45,D,A,False,Conceptual,The student confused chemotropism (growth in response to chemicals) with phototropism (growth in response to light).,Low,Phototropism
276200,Q46,D,C,False,Conceptual,The student did not know that emasculation is the removal of stamens of a flower to prevent self-pollination.,Low,Emasculation in Plant Breeding
276200,Q47,A,A,True,None,The student correctly defined Menopause.,Medium,Menopause
276200,Q48,A,C,False,Conceptual,The student presented incorrect order for the sequence of sexual reproduction in plants.,Low,Sexual Reproduction in Plants
276200,Q49,D,C,False,Conceptual,"The student confused the Oesophagus to be part of Alimentary canal, while it is the Larynx that is not part of it.",Low,Larynx Function
276200,Q50,B,B,True,None,The student correctly identifies that Aerobic Respiration Primarily occur in a cell within the Mitochondria.,Medium,Aerobic Respiration and Mitochondria
279000,Q1,A,C,False,Calculation,"The student incorrectly calculated the area under the force vs time graph, which represents the net momentum gained.",Low,Physics
279000,Q2,B,B,True,None,The student correctly identified that total change in momentum equals force multiplied by time (mgt).,High,Physics
279000,Q3,A,A,True,None,The student correctly recognized that equal tension and weight indicate uniform speed (zero acceleration).,High,Physics
279000,Q4,A,C,False,Conceptual,"The student incorrectly set up the equation or solved for the acceleration of the 5 kg mass, misunderstanding the forces acting on the system.",Low,Physics
279000,Q5,C,C,True,None,The student correctly calculated force as change in momentum divided by time.,High,Physics
279000,Q6,D,D,True,None,The student correctly calculated kinetic energy gained using work done by net force.,High,Work and Energy
279000,Q7,C,D,False,Conceptual,"The student calculated the energy stored at only one extension value, rather than the difference in energy between the two extensions.",Low,Energy Stored in Spring
279000,Q8,B,D,False,Conceptual,The student incorrectly related kinetic energy and number of bullets to power. The student chose the inverse relationship.,Low,Power and Kinetic Energy
279000,Q9,B,B,True,None,The student correctly computed work done as the dot product of force and displacement vectors.,High,Work Done by a Force
279000,Q10,B,D,False,Conceptual,"The student did not correctly apply the relationship between stopping distance and initial velocity, which is a square relationship.",Low,"Work, Energy, and Power"
279000,Q11,B,B,True,None,The student correctly identified the relative speed of the image with respect to the man in a plane mirror.,High,Kinematics/Relative Motion
279000,Q12,C,C,True,None,The student correctly calculated focal length from the radius of curvature.,High,Optics/Mirrors
279000,Q13,C,D,False,Calculation,"The student appears to have made an error in solving the equations relating magnification, object distance, and focal length.",Low,Optics/Mirrors
279000,Q14,D,B,False,Conceptual,The student's answer does not reflect understanding of the geometry of reflection. There is no provided solution text to give better insight.,Low,UNKNOWN
279000,Q15,C,B,False,Conceptual,"The student used the wrong factor, selecting 1.5 meters instead of the correct 1 meter.",Low,Optics
279000,Q16,A,A,True,None,"The student correctly related electronic configuration to group, period and metallic character.",High,Periodic Table
279000,Q17,A,A,True,None,The student correctly identified the set of metalloids.,High,Metalloids
279000,Q18,D,D,True,None,The student correctly identified the element with the highest ionization energy in the second period.,High,Ionization Energy
279000,Q19,B,B,True,None,The student accurately described the trends in atomic radius and ionization energy across a period.,High,Effective Nuclear Charge & Ionization Energy
279000,Q20,C,C,True,None,The student correctly linked metal oxides with basic properties.,High,Metal & Non-metal Oxides
279000,Q21,D,D,True,None,The student correctly identified the trend for metallic character down a group.,High,Alkali Metals
279000,Q22,C,C,True,None,The student correctly stated that valency remains constant down a group.,High,Valency
279000,Q23,B,B,True,None,The student correctly balanced the equation for the reaction of aluminum with chlorine.,High,Chemical Reactions
279000,Q24,C,C,True,None,The student correctly identified a double displacement reaction that produces a gas.,High,Double Displacement Reaction
