student_id,question_id,selected_option,correct_option,is_correct,mistake_type,correctness_reason,confidence_signal,key_concept
701,Q1,D,D,True,None,Student selected the correct option 'D'.,High,UNKNOWN
701,Q2,B,B,True,None,Student selected the correct option 'B'.,High,UNKNOWN
701,Q3,D,C,False,Guess,Student selected incorrect option 'D'. No explanation to infer the reason.,Low,UNKNOWN
701,Q4,D,D,True,None,Student selected the correct option 'D'.,High,UNKNOWN
701,Q5,D,D,True,None,Student selected the correct option 'D'.,High,UNKNOWN
701,Q6,C,B,False,Guess,Student selected incorrect option 'C'. No explanation to infer the reason.,Low,UNKNOWN
701,Q7,C,A,False,Guess,Student selected incorrect option 'C'. No explanation to infer the reason.,Low,UNKNOWN
701,Q8,B,B,True,None,Student selected the correct option 'B'.,High,UNKNOWN
701,Q9,B,D,False,Guess,Student selected incorrect option 'B'. No explanation to infer the reason.,Low,UNKNOWN
701,Q10,A,A,True,None,Student selected the correct option 'A'.,High,UNKNOWN
701,Q11,C,C,True,None,Student selected the correct option 'C'.,High,UNKNOWN
701,Q12,B,B,True,None,Student selected the correct option 'B'.,High,UNKNOWN
701,Q13,B,A,False,Guess,Student selected incorrect option 'B'. No explanation to infer the reason.,Low,UNKNOWN
701,Q14,D,D,True,None,Student selected the correct option 'D'.,High,UNKNOWN
701,Q15,D,B,False,Guess,Student selected incorrect option 'D'. No explanation to infer the reason.,Low,UNKNOWN
701,Q16,A,C,False,Guess,Student selected incorrect option 'A'. No explanation to infer the reason.,Low,UNKNOWN
701,Q17,B,A,False,Guess,Student selected incorrect option 'B'. No explanation to infer the reason.,Low,UNKNOWN
701,Q18,B,A,False,Guess,Student selected incorrect option 'B'. No explanation to infer the reason.,Low,UNKNOWN
701,Q19,D,C,False,Guess,Student selected incorrect option 'D'. No explanation to infer the reason.,Low,UNKNOWN
701,Q20,B,A,False,Guess,Student selected incorrect option 'B'. No explanation to infer the reason.,Low,UNKNOWN
701,Q21,B,B,True,None,Student selected the correct option 'B'.,High,UNKNOWN
