student_id,question_id,selected_option,correct_option,is_correct,status,attempted,key_concept,difficulty_tag
276400,Q1,C,C,True,Correct,True,,Easy
276400,Q2,B,B,True,Correct,True,,Easy
276400,Q3,A,A,True,Correct,True,,Easy
276400,Q4,A,C,False,Incorrect,True,,Hard
276400,Q5,C,C,True,Correct,True,,Easy
276400,Q6,C,C,True,Correct,True,,Hard
276400,Q7,D,D,True,Correct,True,,Easy
276400,Q8,C,C,True,Correct,True,,Easy
276400,Q9,D,B,False,Incorrect,True,,Hard
276400,Q10,A,A,True,Correct,True,,Easy
276400,Q11,A,B,False,Incorrect,True,,Hard
276400,Q12,D,D,True,Correct,True,,Medium
276400,Q13,C,C,True,Correct,True,,Medium
276400,Q14,A,A,True,Correct,True,,Easy
276400,Q15,B,B,True,Correct,True,,Easy
276400,Q16,A,A,True,Correct,True,,Medium
276400,Q17,A,D,False,Incorrect,True,,Hard
276400,Q18,A,B,False,Incorrect,True,,Hard
276400,Q19,B,B,True,Correct,True,,Medium
276400,Q20,B,B,True,Correct,True,,Medium
276400,Q21,C,C,True,Correct,True,,Easy
276400,Q22,D,D,True,Correct,True,,Easy
276400,Q23,A,B,False,Incorrect,True,,Easy
276400,Q24,D,C,False,Incorrect,True,,Medium
276400,Q25,B,B,True,Correct,True,,Easy
276400,Q26,A,A,True,Correct,True,,Easy
276400,Q27,B,A,False,Incorrect,True,,Medium
276400,Q28,D,D,True,Correct,True,,Easy
276400,Q29,A,A,True,Correct,True,,Medium
276400,Q30,B,A,False,Incorrect,True,,Hard
276400,Q31,C,C,True,Correct,True,,Easy
276400,Q32,D,D,True,Correct,True,,Easy
276400,Q33,C,C,True,Correct,True,,Easy
276400,Q34,D,D,True,Correct,True,,Hard
276400,Q35,B,B,True,Correct,True,,Easy
276400,Q36,D,D,True,Correct,True,,Easy
276400,Q37,A,A,True,Correct,True,,Easy
276400,Q38,C,C,True,Correct,True,,Easy
276400,Q39,A,A,True,Correct,True,,Hard
276400,Q40,C,C,True,Correct,True,,Easy
276400,Q41,B,B,True,Correct,True,,Medium
276400,Q42,C,D,False,Incorrect,True,,Hard
276400,Q43,A,A,True,Correct,True,,Easy
276400,Q44,D,D,True,Correct,True,,Medium
276400,Q45,C,C,True,Correct,True,,Easy
275200,Q1,C,C,True,Correct,True,,Easy
275200,Q2,B,B,True,Correct,True,,Easy
275200,Q3,A,A,True,Correct,True,,Easy
275200,Q4,C,C,True,Correct,True,,Hard
275200,Q5,C,C,True,Correct,True,,Easy
275200,Q6,A,C,False,Incorrect,True,,Hard
275200,Q7,D,D,True,Correct,True,,Easy
275200,Q8,C,C,True,Correct,True,,Easy
275200,Q9,D,B,False,Incorrect,True,,Hard
275200,Q10,A,A,True,Correct,True,,Easy
275200,Q11,B,B,True,Correct,True,,Hard
275200,Q12,D,D,True,Correct,True,,Medium
275200,Q13,C,C,True,Correct,True,,Medium
275200,Q14,A,A,True,Correct,True,,Easy
275200,Q15,B,B,True,Correct,True,,Easy
275200,Q16,A,A,True,Correct,True,,Medium
275200,Q17,D,D,True,Correct,True,,Hard
275200,Q18,C,B,False,Incorrect,True,,Hard
275200,Q19,A,B,False,Incorrect,True,,Medium
275200,Q20,A,B,False,Incorrect,True,,Medium
275200,Q21,C,C,True,Correct,True,,Easy
275200,Q22,D,D,True,Correct,True,,Easy
275200,Q23,B,B,True,Correct,True,,Easy
275200,Q24,B,C,False,Incorrect,True,,Medium
275200,Q25,B,B,True,Correct,True,,Easy
275200,Q26,A,A,True,Correct,True,,Easy
275200,Q27,A,A,True,Correct,True,,Medium
275200,Q28,D,D,True,Correct,True,,Easy
275200,Q29,A,A,True,Correct,True,,Medium
275200,Q30,A,A,True,Correct,True,,Hard
275200,Q31,C,C,True,Correct,True,,Easy
275200,Q32,D,D,True,Correct,True,,Easy
275200,Q33,C,C,True,Correct,True,,Easy
275200,Q34,B,D,False,Incorrect,True,,Hard
275200,Q35,B,B,True,Correct,True,,Easy
275200,Q36,D,D,True,Correct,True,,Easy
275200,Q37,A,A,True,Correct,True,,Easy
275200,Q38,A,C,False,Incorrect,True,,Easy
275200,Q39,B,A,False,Incorrect,True,,Hard
275200,Q40,B,C,False,Incorrect,True,,Easy
275200,Q41,B,B,True,Correct,True,,Medium
275200,Q42,B,D,False,Incorrect,True,,Hard
275200,Q43,B,A,False,Incorrect,True,,Easy
275200,Q44,D,D,True,Correct,True,,Medium
275200,Q45,C,C,True,Correct,True,,Easy
285800,Q1,B,C,False,Incorrect,True,,Easy
285800,Q2,D,B,False,Incorrect,True,,Easy
285800,Q3,A,A,True,Correct,True,,Easy
285800,Q4,B,C,False,Incorrect,True,,Hard
285800,Q5,C,C,True,Correct,True,,Easy
285800,Q6,A,C,False,Incorrect,True,,Hard
285800,Q7,D,D,True,Correct,True,,Easy
285800,Q8,C,C,True,Correct,True,,Easy
285800,Q9,D,B,False,Incorrect,True,,Hard
285800,Q10,A,A,True,Correct,True,,Easy
285800,Q11,C,B,False,Incorrect,True,,Hard
285800,Q12,A,D,False,Incorrect,True,,Medium
285800,Q13,A,C,False,Incorrect,True,,Medium
285800,Q14,A,A,True,Correct,True,,Easy
285800,Q15,B,B,True,Correct,True,,Easy
285800,Q16,B,A,False,Incorrect,True,,Medium
285800,Q17,B,D,False,Incorrect,True,,Hard
285800,Q18,D,B,False,Incorrect,True,,Hard
285800,Q19,A,B,False,Incorrect,True,,Medium
285800,Q20,A,B,False,Incorrect,True,,Medium
285800,Q21,C,C,True,Correct,True,,Easy
285800,Q22,A,D,False,Incorrect,True,,Easy
285800,Q23,B,B,True,Correct,True,,Easy
