student_id,question_id,selected_option,correct_option,is_correct,mistake_type,correctness_reason,confidence_signal,key_concept
2737,Q1,A,A,True,None,Student selected the correct option A.,Medium,UNKNOWN
2737,Q2,D,D,True,None,Student selected the correct option D.,Medium,UNKNOWN
2737,Q3,B,C,False,Guess,"Student selected option B, but the correct option is C.",Low,UNKNOWN
2737,Q4,B,A,False,Guess,"Student selected option B, but the correct option is A.",Low,UNKNOWN
2737,Q5,C,B,False,Guess,"Student selected option C, but the correct option is B.",Low,UNKNOWN
2737,Q6,D,D,True,None,Student selected the correct option D.,Medium,UNKNOWN
2737,Q8,C,D,False,Guess,"Student selected option C, but the correct option is D.",Low,UNKNOWN
2737,Q9,C,C,True,None,Student selected the correct option C.,Medium,UNKNOWN
2737,Q10,C,C,True,None,Student selected the correct option C.,Medium,UNKNOWN
2737,Q11,D,D,True,None,Student selected the correct option D.,Medium,UNKNOWN
2737,Q12,B,B,True,None,Student selected the correct option B.,Medium,UNKNOWN
2737,Q13,D,D,True,None,Student selected the correct option D.,Medium,UNKNOWN
2737,Q14,A,B,False,Guess,"Student selected option A, but the correct option is B.",Low,UNKNOWN
2737,Q15,A,A,True,None,Student selected the correct option A.,Medium,UNKNOWN
2737,Q16,C,B,False,Guess,"Student selected option C, but the correct option is B.",Low,UNKNOWN
2737,Q17,D,D,True,None,Student selected the correct option D.,Medium,UNKNOWN
2737,Q18,C,C,True,None,Student selected the correct option C.,Medium,UNKNOWN
2737,Q19,B,D,False,Guess,"Student selected option B, but the correct option is D.",Low,UNKNOWN
2737,Q20,A,A,True,None,Student selected the correct option A.,Medium,UNKNOWN
2737,Q21,C,B,False,Guess,"Student selected option C, but the correct option is B.",Low,UNKNOWN
2737,Q22,C,C,True,None,Student selected the correct option C.,Medium,UNKNOWN
2737,Q23,C,C,True,None,Student selected the correct option C.,Medium,UNKNOWN
2737,Q24,D,D,True,None,Student selected the correct option D.,Medium,UNKNOWN
2737,Q25,D,C,False,Guess,"Student selected option D, but the correct option is C. Student probably did not divide by 2 to find the distance to the cliff.",Low,UNKNOWN
2737,Q26,A,C,False,Guess,"Student selected option A, but the correct option is C.",Low,UNKNOWN
2737,Q27,D,D,True,None,Student selected the correct option D.,Medium,UNKNOWN
2737,Q28,C,C,True,None,Student selected the correct option C.,Medium,UNKNOWN
2737,Q29,C,C,True,None,Student selected the correct option C.,Medium,UNKNOWN
2737,Q30,B,B,True,None,Student selected the correct option B.,Medium,UNKNOWN
2737,Q31,C,B,False,Guess,"Student selected option C, but the correct option is B.",Low,UNKNOWN
2737,Q32,A,A,True,None,Student selected the correct option A.,Medium,UNKNOWN
2737,Q33,B,B,True,None,Student selected the correct option B.,Medium,UNKNOWN
2737,Q34,A,D,False,Guess,"Student selected option A, but the correct option is D.",Low,UNKNOWN
2737,Q35,B,A,False,Guess,"Student selected option B, but the correct option is A.",Low,UNKNOWN
2737,Q36,C,C,True,None,Student selected the correct option C.,Medium,UNKNOWN
2737,Q37,D,D,True,None,Student selected the correct option D.,Medium,UNKNOWN
2737,Q38,B,B,True,None,Student selected the correct option B.,Medium,UNKNOWN
2737,Q39,C,B,False,Guess,"Student selected option C, but the correct option is B.",Low,UNKNOWN
2737,Q40,D,A,False,Guess,"Student selected option D, but the correct option is A.",Low,UNKNOWN
2737,Q41,B,B,True,None,Student selected the correct option B.,Medium,UNKNOWN
2737,Q42,A,B,False,Guess,"Student selected option A, but the correct option is B.",Low,UNKNOWN
2737,Q43,B,C,False,Guess,"Student selected option B, but the correct option is C.",Low,UNKNOWN
2737,Q44,C,D,False,Guess,"Student selected option C, but the correct option is D.",Low,UNKNOWN
2737,Q45,A,A,True,None,Student selected the correct option A.,Medium,UNKNOWN
2716,Q1,B,A,False,Guess,"The student selected option B, while the correct option is A. No explanation is provided, so we assume it was a guess.",Low,UNKNOWN
